stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,zone_id
1,1,"AG. SAN CARLOS",,-34.7919818,-54.9098665,,,,,
2,2,,,-34.7947318,-54.9103077,,,,,
3,3,,,-34.7976602,-54.9104968,,,,,
4,4,,,-34.7975412,-54.9131428,,,,,
5,5,,,-34.7973518,-54.916572,,,,,
6,6,,,-34.7955666,-54.9166001,,,,,
7,7,,,-34.7927736,-54.9164741,,,,,
8,8,,,-34.79085,-54.91636,,,,,
9,9,"AV ALVARIZA",,-34.7905406,-54.9206975,,,,,
10,10,,,-34.7932362,-54.9221604,,,,,
11,11,,,-34.7969697,-54.9223401,,,,,
13,13,,,-34.7985984,-54.9214965,,,,,
14,14,,,-34.80032,-54.92159,,,,,
15,15,,,-34.80743,-54.92715,,,,,
16,16,,,-34.82358,-54.94373,,,,,
17,17,,,-34.82675,-54.94285,,,,,
18,18,,,-34.83776,-54.94221,,,,,
19,19,,,-34.84085,-54.942,,,,,
20,20,,,-34.84437,-54.94191,,,,,
21,21,,,-34.85349,-54.94326,,,,,
22,22,,,-34.86006,-54.94542,,,,,
29,29,"AG: MALDONADO",,-34.8931842,-54.9533841,,,,,
30,30,"FCO AGUILAR",,-34.8957251,-54.9536366,,,,,
34,34,RINCON,,-34.9045653,-54.9554752,,,,,
35,35,ITUZAINGO,,-34.9071206,-54.9555646,,,,,
36,36,"R P DEL PUERTO",,-34.9098914,-54.9555503,,,,,
37,37,"3 DE FEBRERO",,-34.9125812,-54.9555324,,,,,
38,38,SARANDI,,-34.9126789,-54.9573676,,,,,
39,39,"A LEDESMA",,-34.9139669,-54.9586144,,,,,
40,40,"TNAL MALDONADO",,-34.916387,-54.958104,,,,,
41,41,"MALDONADO P20",,-34.9226679,-54.9524178,,,,,
42,42,"Z MICHELLINI",,-34.913971,-54.961455,,,,,
43,43,HAITI,,-34.9132026,-54.9645918,,,,,
44,44,CUBA,,-34.91370261,-54.96760234,,,,,
96,96,"P17 M GUTIERREZ",,-34.9303398,-54.9583263,,,,,
102,102,"P23 BRASILIA",,-34.9218535,-54.9686745,,,,,
103,103,"P24 CARACAS",,-34.920282,-54.9704247,,,,,
104,104,ECUADOR,,-34.9178967,-54.970749,,,,,
108,108,MAUTONE,,-34.9142018,-54.9616536,,,,,
109,109,"TNAL MALDONADO",,-34.916778,-54.958087,,,,,
110,110,"A LEDESMA",,-34.9137799,-54.9594792,,,,,
111,111,"R P DEL PUERTO",,-34.9102601,-54.9597136,,,,,
112,112,ITUZAINGO,,-34.9074303,-54.9597955,,,,,
113,113,"R BERGALLI",,-34.9047031,-54.9598874,,,,,
114,114,"AV LAVALLEJA",,-34.9020113,-54.9600143,,,,,
115,115,"R GUERRA",,-34.9019618,-54.9568443,,,,,
116,116,"A TAMARO",,-34.9009412,-54.953446,,,,,
117,117,"COCA COLA",,-34.8985021,-54.9534589,,,,,
119,119,"AG MALDONADO",,-34.8932811,-54.9530644,,,,,
132,132,"LOS TALAS",,-34.8004672,-54.9214021,,,,,
134,134,,,-34.7946602,-54.9210298,,,,,
135,135,,,-34.7937439,-54.9188948,,,,,
137,137,"L OLIVERA",,-34.7938806,-54.9120611,,,,,
138,138,"AGENCIA S.CARLOS",,-34.7921371,-54.9099415,,,,,
140,140,"L OLIVERA",,-34.7909875,-54.9117351,,,,,
141,141,,,-34.7907593,-54.9162742,,,,,
146,146,"P18 AV ROOSEVELT",,-34.925856,-54.9490074,,,,,
148,148,P15,,-34.9284002,-54.9461741,,,,,
149,149,P13,,-34.931334,-54.9431644,,,,,
168,168,"P18 S BOLIVAR",,-34.922491,-54.9522895,,,,,
174,174,,,-34.7903429,-54.9251497,,,,,
175,175,,,-34.7901843,-54.928143,,,,,
176,176,,,-34.7900654,-54.9307716,,,,,
178,178,,,-34.7935633,-54.9293929,,,,,
180,180,,,-34.7936999,-54.9222583,,,,,
181,181,,,-34.7753364,-54.9188626,,,,,
185,185,,,-34.780289,-54.9231112,,,,,
186,186,"B ARAUJO",,-34.7838791,-54.9206473,,,,,
187,187,EJIDO,,-34.7867105,-54.9208195,,,,,
188,188,"C A CAL",,-34.7871244,-54.9187124,,,,,
189,189,"M. SOLER",,-34.7872513,-54.9163773,,,,,
190,190,,,-34.7874176,-54.9139488,,,,,
191,191,,,-34.7876555,-54.9100113,,,,,
193,193,,,-34.7988011,-54.9238622,,,,,
198,198,,,-34.8015497,-54.9262507,,,,,
201,201,,,-34.7962946,-54.9221295,,,,,
202,202,,,-34.7937792,-54.9219954,,,,,
206,206,,,-34.7871269,-54.916234,,,,,
207,207,"C A CAL",,-34.7871244,-54.9187124,,,,,
209,209,"B ARAUJO",,-34.7841387,-54.9203995,,,,,
210,210,,,-34.7819632,-54.9203029,,,,,
211,211,,,-34.7787546,-54.9197048,,,,,
218,218,SARANDI,,-34.9056037,-54.9578707,,,,,
295,295,"P20A DE FIGUEROA",,-34.9191593,-54.9558923,,,,,
297,297,,,-34.7912152,-54.9073774,,,,,
301,301,,,-34.7853822,-54.8676431,,,,,
304,304,,,-34.8008648,-54.8612809,,,,,
307,307,,,-34.812645,-54.8450214,,,,,
309,309,,,-34.8249013,-54.8300144,,,,,
310,310,,,-34.8323761,-54.8282763,,,,,
311,311,,,-34.8356609,-54.827815,,,,,
313,313,,,-34.8587386,-54.8227939,,,,,
314,314,,,-34.862238,-54.8215762,,,,,
315,315,,,-34.868618,-54.8194224,,,,,
316,316,,,-34.879033,-54.8230755,,,,,
318,318,,,-34.8884479,-54.8231399,,,,,
320,320,,,-34.8992069,-54.8147647,,,,,
321,321,,,-34.8986955,-54.8113918,,,,,
322,322,,,-34.8983666,-54.8090127,,,,,
323,323,,,-34.8991663,-54.8095036,,,,,
324,324,,,-34.9000484,-54.8115394,,,,,
326,326,,,-34.9038716,-54.8107964,,,,,
327,327,,,-34.9051386,-54.8160857,,,,,
329,329,,,-34.9057589,-54.8247117,,,,,
330,330,,,-34.9049054,-54.8285928,,,,,
331,331,,,-34.9065398,-54.8375621,,,,,
333,333,,,-34.9111655,-54.843522,,,,,
334,334,,,-34.9109807,-54.8468587,,,,,
335,335,,,-34.9081125,-54.8484305,,,,,
336,336,,,-34.9146451,-54.849388,,,,,
337,337,,,-34.9154457,-54.8525879,,,,,
338,338,,,-34.915309,-54.8549794,,,,,
339,339,,,-34.9150916,-54.857794,,,,,
341,341,,,-34.9143547,-54.8624825,,,,,
343,343,,,-34.9094697,-54.8652533,,,,,
344,344,,,-34.9088934,-54.8680294,,,,,
346,346,,,-34.9093179,-54.8729861,,,,,
347,347,,,-34.9087196,-54.8715028,,,,,
348,348,,,-34.9089528,-54.8691666,,,,,
349,349,,,-34.9098722,-54.8660392,,,,,
351,351,,,-34.9148562,-54.8613453,,,,,
353,353,"LAS BRISAS",,-34.915335,-54.8549535,,,,,
355,355,,,-34.915008,-54.849557,,,,,
358,358,,,-34.9115746,-54.8436964,,,,,
359,359,,,-34.9093201,-54.8407808,,,,,
364,364,,,-34.9063638,-54.8226088,,,,,
365,365,,,-34.9043115,-54.8109707,,,,,
367,367,,,-34.9021822,-54.8103699,,,,,
369,369,,,-34.8991421,-54.8087686,,,,,
370,370,,,-34.8983963,-54.8087981,,,,,
371,371,,,-34.8986097,-54.8111907,,,,,
374,374,,,-34.8967354,-54.8189342,,,,,
375,375,,,-34.8950128,-54.8197442,,,,,
377,377,,,-34.8860762,-54.824084,,,,,
380,380,,,-34.8651211,-54.8204443,,,,,
382,382,,,-34.8446691,-54.8260823,,,,,
383,383,,,-34.8383864,-54.8269486,,,,,
384,384,,,-34.8311388,-54.8283273,,,,,
386,386,,,-34.8157412,-54.8409498,,,,,
388,388,,,-34.8087427,-54.8516116,,,,,
389,389,,,-34.8034263,-54.8580569,,,,,
390,390,,,-34.795995,-54.8662457,,,,,
391,391,,,-34.7902945,-54.8656717,,,,,
392,392,,,-34.784142,-54.8680401,,,,,
393,393,,,-34.7848645,-54.8875666,,,,,
394,394,,,-34.7870476,-54.8932877,,,,,
395,395,,,-34.7903451,-54.901911,,,,,
422,422,FERMENTARIO,,-34.9506901,-54.9353608,,,,,
423,423,"J LENZINA",,-34.953478,-54.9400655,,,,,
587,587,,,-34.7876225,-54.9216413,,,,,
594,594,SCARONE,,-34.8944462,-54.9495102,,,,,
606,606,CIGUEÑAS,,-34.9019046,-54.9652406,,,,,
612,612,ÑANDUBAY,,-34.9092263,-54.9633057,,,,,
625,625,"25 DE MAYO",,-34.9094714,-54.9629605,,,,,
628,628,B-9,,-34.9036922,-54.9701841,,,,,
635,635,"SAN CARLOS",,-34.9055619,-54.9546249,,,,,
719,719,"SAN CARLOS",,-34.912629,-54.9542557,,,,,
720,720,"19 DE ABRIL",,-34.9142784,-54.9527285,,,,,
721,721,"ESC CACHIMBA",,-34.9142134,-54.9502866,,,,,
722,722,"A SANTANA",,-34.911182,-54.9495066,,,,,
723,723,"AV AIGUA",,-34.9082834,-54.9493937,,,,,
724,724,MASETTI,,-34.9070941,-54.94096935,,,,,
767,767,,,-34.797158,-54.9199355,,,,,
791,791,,,-34.9026287,-54.8074329,,,,,
826,826,"HECTOR SORIA",,-34.8371577,-54.6551434,,,,,
850,850,,,-34.9027453,-54.8078057,,,,,
851,851,,,-34.9040893,-54.8105711,,,,,
869,869,,,-34.795365,-54.9312034,,,,,
876,876,,,-34.8998262,-54.808562,,,,,
897,897,,,-34.7893693,-54.9289799,,,,,
985,985,CAMALEON,,-34.9026101,-54.9946309,,,,,
987,987,"CNO A LA LAGUNA",,-34.9082829,-54.9910118,,,,,
1024,1024,,,-34.7878274,-54.9075115,,,,,
1025,1025,,,-34.7935897,-54.9274564,,,,,
1029,1029,CIGUEÑAS,,-34.9019046,-54.9652406,,,,,
1074,1074,,,-34.7835714,-54.8697674,,,,,
1075,1075,,,-34.8994764,-54.8165846,,,,,
1076,1076,,,-34.9054092,-54.8262084,,,,,
1077,1077,,,-34.905576,-54.8350055,,,,,
1078,1078,,,-34.9127777,-54.8457482,,,,,
1079,1079,,,-34.9068345,-54.8375621,,,,,
1090,1090,,,-34.7946613,-54.9131133,,,,,
1091,1091,,,-34.7963914,-54.9132272,,,,,
1093,1093,"TNAL. MALDONADO",,-34.9164294,-54.9585493,,,,,
1096,1096,,,-34.7969311,-54.9306052,,,,,
1097,1097,,,-34.7935853,-54.9315602,,,,,
1098,1098,,,-34.7917439,-54.9186748,,,,,
1101,1101,,,-34.788475,-54.9231327,,,,,
1102,1102,,,-34.7784825,-54.9243021,,,,,
1103,1103,,,-34.7767993,-54.9258149,,,,,
1104,1104,,,-34.7758388,-54.9236584,,,,,
1105,1105,,,-34.7790553,-54.921931,,,,,
1106,1106,,,-34.7811614,-54.920193,,,,,
1108,1108,,,-34.7789848,-54.9165291,,,,,
1109,1109,,,-34.7792271,-54.9124467,,,,,
1110,1110,,,-34.7794254,-54.9095178,,,,,
1111,1111,,,-34.7817121,-54.9091476,,,,,
1112,1112,,,-34.7847786,-54.9095285,,,,,
1113,1113,,,-34.7844922,-54.9128813,,,,,
1114,1114,,,-34.7841089,-54.9162233,,,,,
1115,1115,,,-34.7870167,-54.9165666,,,,,
1117,1117,,,-34.7916998,-54.915365,,,,,
1118,1118,,,-34.7936558,-54.9154696,,,,,
1119,1119,,,-34.7914994,-54.904907,,,,,
1157,1157,"AV. EJID",,-34.7872513,-54.9163773,,,,,
2340,2340,,,-34.9130659,-54.8490313,,,,,
2341,2341,,,-34.9122433,-54.8510537,,,,,
2342,2342,,,-34.9139127,-54.8553881,,,,,
2343,2343,,,-34.9136641,-54.8587757,,,,,
2344,2344,,,-34.9134508,-54.8608571,,,,,
2345,2345,,,-34.9093135,-54.8618415,,,,,
2346,2346,,,-34.9091991,-54.8643091,,,,,
3509,3509,,,-34.9133452,-54.8638156,,,,,
