code_stop,line_salida,trayect_salida,time_salida,time
20,7,3,1:05,1:19
21,7,3,1:05,1:19
23,7,3,1:05,1:19
101,7,4,1:00,1:19
426,7,4,1:00,1:19
427,7,4,1:00,1:19
635,14,2,0:20,1:19
870,14,2,0:20,1:19
22,7,3,1:05,1:20
104,7,4,1:00,1:20
291,7,4,1:00,1:20
872,14,2,0:20,1:20
25,7,3,1:05,1:21
106,7,4,1:00,1:21
292,7,4,1:00,1:21
871,14,2,0:20,1:21
873,14,2,0:20,1:21
874,14,2,0:20,1:21
98,7,4,1:00,1:22
165,7,4,1:00,1:22
293,7,4,1:00,1:22
633,7,3,1:05,1:22
642,14,2,0:20,1:22
166,7,4,1:00,1:23
643,14,2,0:20,1:23
887,7,4,1:00,1:23
24,7,3,1:05,1:24
28,7,3,1:05,1:24
96,7,4,1:00,1:24
105,7,4,1:00,1:24
667,7,3,1:05,1:24
888,7,4,1:00,1:24
26,7,3,1:05,1:25
97,7,4,1:00,1:25
29,7,3,1:05,1:26
103,7,4,1:00,1:26
107,7,4,1:00,1:26
108,7,4,1:00,1:26
112,7,4,1:00,1:27
31,7,3,1:05,1:28
109,7,4,1:00,1:28
30,7,3,1:05,1:29
32,7,3,1:05,1:29
110,7,4,1:00,1:29
33,7,3,1:05,1:30
111,7,4,1:00,1:30
34,7,3,1:05,1:31
35,7,3,1:05,1:32
114,7,4,1:00,1:32
36,7,3,1:05,1:33
115,7,4,1:00,1:33
38,7,3,1:05,1:35
117,7,4,1:00,1:35
37,7,3,1:05,1:36
39,7,3,1:05,1:36
113,7,4,1:00,1:36
118,7,4,1:00,1:36
1093,7,3,1:05,1:37
119,7,4,1:00,1:38
42,7,3,1:05,1:39
121,7,4,1:00,1:39
123,7,4,1:00,1:40
124,7,4,1:00,1:40
43,7,3,1:05,1:41
44,7,3,1:05,1:42
45,7,3,1:05,1:42
46,7,3,1:05,1:42
122,7,4,1:00,1:42
125,7,4,1:00,1:42
126,7,4,1:00,1:43
127,7,4,1:00,1:43
129,7,4,1:00,1:43
47,7,3,1:05,1:44
48,7,3,1:05,1:45
49,7,3,1:05,1:45
50,7,3,1:05,1:45
52,7,3,1:05,1:45
130,7,4,1:00,1:45
131,7,4,1:00,1:45
55,7,3,1:05,1:46
58,7,3,1:05,1:47
128,7,4,1:00,1:47
132,7,4,1:00,1:48
886,7,3,1:05,1:48
133,7,4,1:00,1:49
220,7,3,1:05,1:49
222,7,3,1:05,1:50
134,7,4,1:00,1:51
617,7,3,1:05,1:51
421,7,3,1:05,1:52
422,7,3,1:05,1:53
423,7,4,2:00,1:54
156,7,3,1:05,1:55
157,7,3,1:05,1:56
159,7,3,1:05,1:57
77,7,4,2:00,1:58
160,7,3,1:05,1:58
80,7,4,2:00,2:03
82,7,4,2:00,2:07
427,7,4,2:00,2:10
291,7,4,2:00,2:12
292,7,4,2:00,2:13
294,7,4,2:00,2:14
166,7,4,2:00,2:15
887,7,4,2:00,2:15
172,7,4,2:00,2:16
96,7,4,2:00,2:17
888,7,4,2:00,2:17
100,7,4,2:00,2:18
102,7,4,2:00,2:19
103,7,4,2:00,2:20
106,7,4,2:00,2:21
108,7,4,2:00,2:21
109,7,4,2:00,2:22
111,7,4,2:00,2:25
112,7,4,2:00,2:27
114,7,4,2:00,2:28
115,7,4,2:00,2:29
116,7,4,2:00,2:30
118,7,4,2:00,2:32
119,7,4,2:00,2:32
