rowid,line,trayect,time,mod
290,1,5,8:00,
291,24,3,8:00,
292,24,3,9:00,
293,1,3,9:38,
294,1,3,10:38,
295,80,1,11:49,
296,80,1,12:49,
297,7,3,1:05,
298,7,3,4:05,
299,24,3,5:00,
300,7,3,5:35,
301,24,5,6:00,
302,24,3,6:00,
303,6,1,6:30,
304,7,3,6:30,
305,24,3,7:00,
306,24,5,7:00,
307,24,7,6:55,
308,7,1,7:15,
309,24,1,7:35,
310,24,3,8:00,
311,4,3,7:50,
312,24,7,7:50,
313,7,1,8:15,
314,24,5,8:30,
315,24,5,9:00,
316,7,1,9:15,
317,6,1,9:30,
318,24,1,9:35,
319,24,1,10:05,
320,24,3,10:00,
321,7,1,10:15,
322,24,5,10:30,
323,24,3,11:00,
324,7,1,11:15,
325,24,1,11:35,
326,6,1,12:05,
327,24,3,12:00,
328,7,1,12:15,
329,24,5,12:30,
330,6,1,12:40,
331,24,1,13:05,
332,24,3,13:00,
333,7,1,13:15,
334,24,1,13:35,
335,24,1,14:05,
336,24,3,14:00,
337,7,1,14:15,
338,24,5,14:30,
339,24,3,15:00,
340,24,1,15:05,
341,24,1,17:35,
342,24,1,19:05,
343,7,1,19:15,
344,24,1,19:35,
345,24,3,20:00,
346,7,1,20:15,
347,24,1,20:35,
348,24,1,21:05,
349,7,3,21:30,
350,24,1,22:05,
351,7,3,23:05,
352,24,3,9:00,
353,7,3,1:05,
354,7,3,4:05,
355,24,3,5:00,
356,7,3,5:35,
357,24,5,6:00,
358,24,3,6:00,
359,6,1,6:30,
360,7,3,6:30,
361,24,3,7:00,
362,24,5,7:00,
363,24,7,6:55,
364,7,1,7:15,
365,24,1,7:35,
366,24,3,8:00,
367,4,3,7:50,
368,24,7,7:50,
369,7,1,8:15,
370,24,5,8:30,
371,24,5,9:00,
372,7,1,9:15,
373,6,1,9:30,
374,24,1,9:35,
375,24,3,10:00,
376,24,1,10:05,
377,7,1,10:15,
378,24,5,10:30,
379,24,3,11:00,
380,7,1,11:15,
381,24,1,11:35,
382,6,1,12:05,
383,24,3,12:00,
384,7,1,12:15,
385,24,5,12:30,
386,6,1,12:40,
387,24,3,13:00,
388,24,1,13:05,
389,7,1,13:15,
390,24,1,13:35,
391,24,3,14:00,
392,24,1,14:05,
393,7,1,14:15,
394,24,5,14:30,
395,24,3,15:00,
396,24,1,15:05,
397,24,1,17:35,
398,24,5,18:30,
399,24,1,19:05,
400,7,1,19:15,
401,24,1,19:35,
402,24,3,20:00,
403,7,1,20:15,
404,24,1,20:35,
405,24,1,21:05,
406,7,3,21:30,
407,24,1,22:05,
408,7,3,23:05,
409,24,3,9:00,
410,7,3,1:05,
411,7,3,5:35,
412,24,3,6:00,
413,24,3,10:00,
414,7,1,10:15,
415,7,1,12:15,
416,24,1,13:05,
417,24,1,14:05,
418,24,3,14:00,
419,24,1,17:35,
420,7,1,18:15,
421,24,5,18:30,
422,7,1,19:15,
423,24,1,22:05,
424,7,3,4:05,
425,1,3,6:38,
426,1,1,7:50,
427,24,3,9:00,
428,1,3,10:38,
429,6,1,12:05,
430,24,3,13:00,
431,7,3,1:05,
432,24,3,5:00,
433,6,1,6:30,
434,24,5,7:00,
435,24,3,7:00,
436,7,1,7:15,
437,24,1,7:35,
438,1,1,7:50,
439,1,3,7:38,
440,7,1,8:15,
441,24,5,8:30,
442,7,1,9:15,
443,6,1,9:30,
444,7,1,10:15,
445,24,5,10:30,
446,24,3,11:00,
447,1,3,11:38,
448,24,3,12:00,
449,7,1,12:15,
450,24,5,12:30,
451,6,1,12:40,
452,24,3,13:00,
453,24,1,13:05,
454,7,1,13:15,
455,1,3,13:38,
456,24,1,14:05,
457,24,3,14:00,
458,7,1,14:15,
459,1,3,14:38,
460,24,3,15:00,
461,24,1,15:05,
462,24,1,17:35,
463,24,3,18:00,
464,7,1,18:15,
465,24,5,18:30,
466,24,1,19:05,
467,24,1,19:35,
468,24,3,20:00,
469,7,1,20:15,
470,24,1,21:05,
471,7,3,21:30,
472,7,3,5:35,
473,24,5,6:00,
474,24,3,6:00,
475,7,3,6:30,
476,1,3,6:38,
477,1,5,8:00,
478,24,3,8:00,
479,24,5,9:00,
480,1,3,9:38,
481,24,1,10:05,
482,24,1,11:35,
483,6,1,12:05,
484,24,3,6:00,
485,6,1,6:30,
486,7,3,6:30,
487,1,1,6:45,
488,24,5,7:00,
489,7,1,7:15,
490,1,3,7:38,
491,24,5,8:30,
492,24,5,9:00,
493,7,1,9:15,
494,24,1,9:35,
495,7,1,10:15,
496,7,1,11:15,
497,6,1,12:05,
498,24,3,12:00,
499,7,1,12:15,
500,24,3,13:00,
501,24,5,14:30,
502,1,3,14:38,
503,24,1,19:05,
504,7,1,19:15,
